sf,workers,status_D1,status_D2,n_queries,pct_queries
10,2,CITUS_ARCH_ERROR,CITUS_ARCH_ERROR,19,7.6
10,2,CITUS_ARCH_ERROR,SUCCESS,5,2
10,2,SUCCESS,CITUS_ARCH_ERROR,9,3.5999999999999996
10,2,SUCCESS,SUCCESS,216,86.4
10,2,TIMEOUT_3600,SERVER_CRASH,1,0.4
10,5,CITUS_ARCH_ERROR,CITUS_ARCH_ERROR,19,7.6
10,5,CITUS_ARCH_ERROR,SUCCESS,5,2
10,5,SUCCESS,CITUS_ARCH_ERROR,9,3.5999999999999996
10,5,SUCCESS,SUCCESS,216,86.4
10,5,TIMEOUT_3600,SERVER_CRASH,1,0.4
50,2,CITUS_ARCH_ERROR,CITUS_ARCH_ERROR,19,7.6
50,2,CITUS_ARCH_ERROR,SUCCESS,5,2
50,2,SERVER_CRASH,SERVER_CRASH,1,0.4
50,2,SUCCESS,CITUS_ARCH_ERROR,9,3.5999999999999996
50,2,SUCCESS,SUCCESS,211,84.39999999999999
50,2,TIMEOUT_3600,SUCCESS,1,0.4
50,2,TIMEOUT_3600,TIMEOUT_3600,4,1.6
50,5,CITUS_ARCH_ERROR,CITUS_ARCH_ERROR,19,7.6
50,5,CITUS_ARCH_ERROR,SUCCESS,5,2
50,5,SERVER_CRASH,SERVER_CRASH,1,0.4
50,5,SUCCESS,CITUS_ARCH_ERROR,9,3.5999999999999996
50,5,SUCCESS,SUCCESS,211,84.39999999999999
50,5,TIMEOUT_3600,SUCCESS,1,0.4
50,5,TIMEOUT_3600,TIMEOUT_3600,4,1.6
100,2,CITUS_ARCH_ERROR,CITUS_ARCH_ERROR,19,7.6
100,2,CITUS_ARCH_ERROR,SUCCESS,5,2
100,2,SERVER_CRASH,SERVER_CRASH,3,1.2
100,2,SUCCESS,CITUS_ARCH_ERROR,8,3.2
100,2,SUCCESS,SUCCESS,207,82.8
100,2,SUCCESS,TIMEOUT_3600,2,0.8
100,2,TIMEOUT_3600,CITUS_ARCH_ERROR,1,0.4
100,2,TIMEOUT_3600,SUCCESS,3,1.2
100,2,TIMEOUT_3600,TIMEOUT_3600,2,0.8
100,5,CITUS_ARCH_ERROR,CITUS_ARCH_ERROR,19,7.6
100,5,CITUS_ARCH_ERROR,SUCCESS,5,2
100,5,SERVER_CRASH,SERVER_CRASH,3,1.2
100,5,SUCCESS,CITUS_ARCH_ERROR,8,3.2
100,5,SUCCESS,SUCCESS,208,83.2
100,5,SUCCESS,TIMEOUT_3600,2,0.8
100,5,TIMEOUT_3600,CITUS_ARCH_ERROR,1,0.4
100,5,TIMEOUT_3600,SUCCESS,1,0.4
100,5,TIMEOUT_3600,TIMEOUT_3600,3,1.2
