characteristic,presence,architecture,n,median_elapsed_sec,p90_elapsed_sec,p95_elapsed_sec,mean_elapsed_sec
has_aggregates,no,baseline,81,77.481,1826.394,2232.963,496.1066790123457
has_aggregates,yes,baseline,660,53.379,775.2572,1110.146649999999,251.35313484848484
has_aggregates,no,distributed,244,30.163,401.8708000000002,632.9210999999998,158.21900409836067
has_aggregates,yes,distributed,2386,15.0105,195.83550000000002,368.73125000000005,90.33156286672255
has_case,no,baseline,637,52.639,806.3466,1227.2995999999998,263.83251020408164
has_case,yes,baseline,104,71.424,856.1118000000001,1771.3906499999978,365.5423173076923
has_case,no,distributed,2268,15.9815,221.5927999999999,402.9625500000001,100.44256128747796
has_case,yes,distributed,362,15.6545,201.4880000000004,367.1636499999994,72.74258839779006
has_cte,no,baseline,566,57.265,890.617,1355.0712500000002,286.0878109540636
has_cte,yes,baseline,175,53.513,742.4706,862.4318999999998,252.29719428571428
has_cte,no,distributed,1943,15.053,199.95159999999998,403.2042999999998,103.06579927946474
has_cte,yes,distributed,687,18.775,241.16159999999985,368.72799999999995,78.42750800582242
has_distinct,no,baseline,570,53.116,804.8028,1189.62995,262.5017859649123
has_distinct,yes,baseline,171,60.05,897.207,1664.461,330.1268538011696
has_distinct,no,distributed,2012,14.7185,234.85720000000006,414.7101999999992,97.06166600397614
has_distinct,yes,distributed,618,20.8915,188.10760000000005,311.4589999999999,95.22406796116505
has_group_by,no,baseline,79,83.192,1835.8606,2264.3280999999984,502.6145316455696
has_group_by,yes,baseline,662,53.116,774.8702999999999,1107.1431499999976,251.31595468277945
has_group_by,no,distributed,238,30.5405,405.2203,636.3625499999999,161.76346218487396
has_group_by,yes,distributed,2392,15.018,195.55980000000017,368.2563499999997,90.14918143812709
has_having,no,baseline,486,71.6525,976.1645,1462.54,318.9326131687243
has_having,yes,baseline,255,35.174,708.8658,876.6503999999999,200.2998431372549
has_having,no,distributed,1689,16.678,225.39020000000005,417.4918,99.23830965068088
has_having,yes,distributed,941,14.832,200.037,370.984,91.94797130712008
has_left_join,no,baseline,604,55.7425,824.3042000000011,1216.7209500000004,271.2969867549669
has_left_join,yes,baseline,137,53.56,834.5388,1834.8145999999997,308.133795620438
has_left_join,no,distributed,2137,14.631,185.88000000000017,345.5039999999998,85.02470753392606
has_left_join,yes,distributed,493,24.197,367.3964,522.9171999999999,146.93457606490873
has_limit,no,baseline,585,54.725,860.5092000000001,1257.8179999999984,282.2158
has_limit,yes,baseline,156,58.1575,747.797,1380.5282499999998,262.70171153846155
has_limit,no,distributed,2054,16.011,230.1748,417.38604999999995,104.89062560856864
has_limit,yes,distributed,576,15.4515,190.3025,333.02750000000003,67.17222395833333
has_order_by,no,baseline,117,95.124,903.7292000000011,1385.1479999999983,336.71562393162395
has_order_by,yes,baseline,624,51.7055,823.409600000001,1259.5057500000007,267.1185608974359
has_order_by,no,distributed,397,24.34,351.3688000000003,689.0457999999999,142.85400755667507
has_order_by,yes,distributed,2233,14.938,196.53959999999995,362.62020000000007,88.4117801164353
has_subqueries,no,baseline,569,49.465,803.919,1189.6404,256.0281177504394
has_subqueries,yes,baseline,172,80.256,1013.0265999999999,1643.6613999999954,351.14948255813954
has_subqueries,no,distributed,2109,14.804,188.32500000000002,348.3469999999999,87.64136794689426
has_subqueries,yes,distributed,521,23.272,343.412,685.047,133.01516506717851
has_union,no,baseline,708,52.813,804.9984000000001,1229.27645,267.9560988700565
has_union,yes,baseline,33,222.735,1315.4882,1474.0538,495.9027878787879
has_union,no,distributed,2518,15.11,193.76870000000002,368.2750500000003,92.63522915011914
has_union,yes,distributed,112,83.28,471.8631000000002,661.90825,186.4378482142857
has_window,no,baseline,624,58.354,856.1118000000007,1355.3639500000002,290.7724855769231
has_window,yes,baseline,117,40.345,579.3562000000003,898.4799999999982,210.56135897435897
has_window,no,distributed,2171,16.177,239.254,443.908,106.65935559649931
has_window,yes,distributed,459,14.757,136.23259999999993,252.47319999999982,49.191906318082786
