scenario,sf,workers,strategy,n_compared_queries,median_speedup,mean_speedup,pct_faster,pct_slower
SF10_N2_D1,10,2,D1,225,2.4529366504231853,3.491081533503583,75.1111111111111,24.88888888888889
SF10_N2_D2,10,2,D2,221,2.560344827586207,3.112578629425833,80.54298642533936,19.457013574660635
SF10_N5_D1,10,5,D1,225,2.087360594795539,3.28510176157491,72.88888888888889,27.111111111111114
SF10_N5_D2,10,5,D2,221,2.693672839506173,3.478398295730575,84.61538461538461,15.384615384615385
SF50_N2_D1,50,2,D1,220,3.3098811119406153,9.271254365138219,84.0909090909091,15.909090909090908
SF50_N2_D2,50,2,D2,217,3.857390100380755,14.89628646216409,89.86175115207374,10.138248847926267
SF50_N5_D1,50,5,D1,220,3.5434356166463203,10.536588816915877,85,15
SF50_N5_D2,50,5,D2,217,4.5932424422050975,16.8040287357414,93.54838709677419,6.451612903225806
SF100_N2_D1,100,2,D1,214,4.848414620149968,13.59643587964584,86.91588785046729,13.084112149532709
SF100_N2_D2,100,2,D2,214,5.1872388433634224,10.377800657094792,91.58878504672897,8.411214953271028
SF100_N5_D1,100,5,D1,215,4.301282828107959,8.854862861598079,85.11627906976744,14.883720930232558
SF100_N5_D2,100,5,D2,213,4.031628270206951,8.934296051889554,90.14084507042254,9.859154929577464
