sf,workers,strategy,distributed_scenario,n_pairs,both_success,baseline_success_distributed_fail,baseline_fail_distributed_success,both_fail,statistic_chi_square,p_value,p_value_holm,significant_holm,discordant_or
10,2,D1,SF10_N2_D1,250,225,25,0,0,25,5.733031437583879e-7,2.2932125750335517e-6,TRUE,NA
10,2,D2,SF10_N2_D2,250,221,29,0,0,29,7.23782987174001e-8,7.23782987174001e-7,TRUE,NA
10,5,D1,SF10_N5_D1,250,225,25,0,0,25,5.733031437583879e-7,2.2932125750335517e-6,TRUE,NA
10,5,D2,SF10_N5_D2,250,221,29,0,0,29,7.23782987174001e-8,7.23782987174001e-7,TRUE,NA
50,2,D1,SF50_N2_D1,250,220,27,0,3,27,2.034554614544432e-7,1.332227490451939e-6,TRUE,NA
50,2,D2,SF50_N2_D2,250,217,30,0,3,30,4.320463057827497e-8,5.184555669392996e-7,TRUE,NA
50,5,D1,SF50_N5_D1,250,220,27,0,3,27,2.034554614544432e-7,1.332227490451939e-6,TRUE,NA
50,5,D2,SF50_N5_D2,250,217,30,0,3,30,4.320463057827497e-8,5.184555669392996e-7,TRUE,NA
100,2,D1,SF100_N2_D1,250,214,30,3,3,22.09090909090909,2.6003831259784774e-6,5.200766251956955e-6,TRUE,10
100,2,D2,SF100_N2_D2,250,214,30,1,5,27.129032258064516,1.9031821292170557e-7,1.332227490451939e-6,TRUE,30
100,5,D1,SF100_N5_D1,250,215,29,3,3,21.125,4.302779463675125e-6,5.200766251956955e-6,TRUE,9.666666666666666
100,5,D2,SF100_N5_D2,250,213,31,1,5,28.125,1.1372725656979664e-7,9.098180525583731e-7,TRUE,31
