sf,workers,strategy,distributed_scenario,n_pairs,median_baseline,median_distributed,p_value,p_value_holm,significant_holm,rank_biserial,effect_magnitude
10,2,D1,SF10_N2_D1,225,9.564,3.238,6.865874177912199e-10,1.3731748355824398e-9,TRUE,0.474,very large
10,2,D2,SF10_N2_D2,221,9.182,3.453,2.1439479656615507e-11,6.431843896984653e-11,TRUE,0.52,very large
10,5,D1,SF10_N5_D1,225,9.564,3.662,4.176386242416902e-7,4.176386242416902e-7,TRUE,0.389,large
10,5,D2,SF10_N5_D2,221,9.182,3.159,1.4500355880678964e-16,5.800142352271586e-16,TRUE,0.641,very large
50,2,D1,SF50_N2_D1,220,67.308,18.195,3.042818829733371e-18,1.5214094148666855e-17,TRUE,0.677,very large
50,2,D2,SF50_N2_D2,217,58.728,16.005,3.564609781575814e-24,3.208148803418233e-23,TRUE,0.794,very large
50,5,D1,SF50_N5_D1,220,67.308,16.584,2.696833611243297e-20,1.6181001667459783e-19,TRUE,0.718,very large
50,5,D2,SF50_N5_D2,217,58.728,14.641,2.063489913854078e-28,2.4761878966248936e-27,TRUE,0.866,very large
100,2,D1,SF100_N2_D1,214,354.29,69.228,5.921984263809129e-25,5.9219842638091285e-24,TRUE,0.813,very large
100,2,D2,SF100_N2_D2,214,348.694,62.991,2.3819273737683387e-25,2.6201201111451724e-24,TRUE,0.82,very large
100,5,D1,SF100_N5_D1,215,357.113,72.373,9.935824065862058e-22,6.95507684610344e-21,TRUE,0.753,very large
100,5,D2,SF100_N5_D2,213,340.275,81.831,1.1437627373308497e-23,9.150101898646797e-23,TRUE,0.793,very large
