term,importance_rf
n_aggregate_types,0.030882415719063847
n_aggregate_calls,0.02782030411752664
n_tables,0.02548321170476355
n_joins,0.021976041509084613
n_where_predicates,0.021428053002077178
n_subqueries,0.020645163020588254
has_subqueries_yes,0.020531280097008126
n_inner_joins,0.020404982574704803
has_group_by_yes,0.012534540047652601
architecture_distributed,0.011242942088121792
has_cte_yes,0.009275062247741201
n_ctes,0.009255118517800597
strategy_D2,0.008293683792420889
n_having_predicates,0.00822588802737786
has_aggregates_yes,0.006327859166314451
strategy_D1,0.0055098903192697625
has_having_yes,0.0054302563638423595
has_window_yes,0.005416461031887608
n_left_joins,0.005319413799822736
has_left_join_yes,0.00521247485292787
has_distinct_yes,0.003954564877078824
has_order_by_yes,0.003516264612883555
has_rollup_yes,0.0030444609427635757
has_case_yes,0.0029295357241921425
has_grouping_yes,0.0019340615107083226
has_cube_yes,0.0018820978702366957
has_limit_yes,0.001659473971271198
has_except_yes,0.0011121117539591697
has_union_yes,8.745372294797643e-4
has_intersect_yes,6.754249600216509e-4
workers_X2,5.392377298740347e-4
workers_X5,4.78437497130762e-4
n_right_joins,3.422776807119926e-4
has_right_join_yes,2.716938670494128e-4
has_full_join_yes,1.3787928996884067e-4
n_full_joins,8.161500869284951e-5
n_cross_joins,4.8724852162767146e-5
sf_X50,3.793694340392895e-5
has_cross_join_yes,1.0547555360253118e-5
sf_X100,-2.2522116128697686e-4
