Variable,Importance
sf_X100,0.5846310181232742
n_where_predicates,0.29601795801165126
n_inner_joins,0.1758675671197472
sf_X50,0.1537344294615957
n_aggregate_calls,0.14560833244684812
n_aggregate_types,0.13528764062086276
n_joins,0.11265559505025323
architecture_distributed,0.10442857767094563
n_tables,0.10214555924908553
n_left_joins,0.06469402092972099
has_distinct_yes,0.056618473745010806
n_having_predicates,0.05433326163770195
n_ctes,0.03794544829902513
has_order_by_yes,0.03685663880109019
has_having_yes,0.03147899741762716
has_limit_yes,0.03025619856078849
has_union_yes,0.023339907640934153
has_case_yes,0.020348297910451663
has_cte_yes,0.016265740956707863
has_left_join_yes,0.01601805151311915
n_subqueries,0.014346757878713225
has_group_by_yes,0.011205040829979016
has_subqueries_yes,0.011198840028423838
has_window_yes,0.010443195715515403
n_right_joins,0.009898945739351364
has_right_join_yes,0.00928941011110117
has_except_yes,0.0069498109351639106
strategy_D2,0.005031399870785649
has_intersect_yes,0.004271236255083437
has_aggregates_yes,0.0035825646865091463
has_full_join_yes,0.0026476546235596403
n_full_joins,0.0023136291090458255
strategy_D1,0.0015447691169595344
has_cross_join_yes,6.119286289664978e-4
n_cross_joins,5.270411160298832e-4
has_cube_yes,1.396144244229236e-6
has_grouping_yes,0
has_rollup_yes,-1.585341907419796e-6
workers_X5,-0.002731262595984239
workers_X2,-0.003554417793122398
